18,307,130,3504,12,70,1,8
15,350,165,3693,11.5,70,1,8
18,318,150,3436,11,70,1,8
16,304,150,3433,12,70,1,8
17,302,140,3449,10.5,70,1,8
15,429,198,4341,10,70,1,8
14,454,220,4354,9,70,1,8
14,440,215,4312,8.5,70,1,8
14,455,225,4425,10,70,1,8
15,390,190,3850,8.5,70,1,8
15,383,170,3563,10,70,1,8
14,340,160,3609,8,70,1,8
15,400,150,3761,9.5,70,1,8
14,455,225,3086,10,70,1,8
24,113,95,2372,15,70,3,4
22,198,95,2833,15.5,70,1,6
18,199,97,2774,15.5,70,1,6
21,200,85,2587,16,70,1,6
27,97,88,2130,14.5,70,3,4
26,97,46,1835,20.5,70,2,4
25,110,87,2672,17.5,70,2,4
24,107,90,2430,14.5,70,2,4
25,104,95,2375,17.5,70,2,4
26,121,113,2234,12.5,70,2,4
21,199,90,2648,15,70,1,6
10,360,215,4615,14,70,1,8
10,307,200,4376,15,70,1,8
11,318,210,4382,13.5,70,1,8
9,304,193,4732,18.5,70,1,8
27,97,88,2130,14.5,71,3,4
28,140,90,2264,15.5,71,1,4
25,113,95,2228,14,71,3,4
19,232,100,2634,13,71,1,6
16,225,105,3439,15.5,71,1,6
17,250,100,3329,15.5,71,1,6
19,250,88,3302,15.5,71,1,6
18,232,100,3288,15.5,71,1,6
14,350,165,4209,12,71,1,8
14,400,175,4464,11.5,71,1,8
14,351,153,4154,13.5,71,1,8
14,318,150,4096,13,71,1,8
12,383,180,4955,11.5,71,1,8
13,400,170,4746,12,71,1,8
13,400,175,5140,12,71,1,8
18,258,110,2962,13.5,71,1,6
22,140,72,2408,19,71,1,4
19,250,100,3282,15,71,1,6
18,250,88,3139,14.5,71,1,6
23,122,86,2220,14,71,1,4
28,116,90,2123,14,71,2,4
30,79,70,2074,19.5,71,2,4
30,88,76,2065,14.5,71,2,4
31,71,65,1773,19,71,3,4
35,72,69,1613,18,71,3,4
27,97,60,1834,19,71,2,4
26,91,70,1955,20.5,71,1,4
24,113,95,2278,15.5,72,3,4
25,97.5,80,2126,17,72,1,4
23,97,54,2254,23.5,72,2,4
20,140,90,2408,19.5,72,1,4
21,122,86,2226,16.5,72,1,4
13,350,165,4274,12,72,1,8
14,400,175,4385,12,72,1,8
15,318,150,4135,13.5,72,1,8
14,351,153,4129,13,72,1,8
17,304,150,3672,11.5,72,1,8
11,429,208,4633,11,72,1,8
13,350,155,4502,13.5,72,1,8
12,350,160,4456,13.5,72,1,8
13,400,190,4422,12.5,72,1,8
19,70,97,2330,13.5,72,3,3
15,304,150,3892,12.5,72,1,8
13,307,130,4098,14,72,1,8
13,302,140,4294,16,72,1,8
14,318,150,4077,14,72,1,8
18,121,112,2933,14.5,72,2,4
22,121,76,2511,18,72,2,4
21,120,87,2979,19.5,72,2,4
26,96,69,2189,18,72,2,4
22,122,86,2395,16,72,1,4
28,97,92,2288,17,72,3,4
23,120,97,2506,14.5,72,3,4
28,98,80,2164,15,72,1,4
27,97,88,2100,16.5,72,3,4
13,350,175,4100,13,73,1,8
14,304,150,3672,11.5,73,1,8
13,350,145,3988,13,73,1,8
14,302,137,4042,14.5,73,1,8
15,318,150,3777,12.5,73,1,8
12,429,198,4952,11.5,73,1,8
13,400,150,4464,12,73,1,8
13,351,158,4363,13,73,1,8
14,318,150,4237,14.5,73,1,8
13,440,215,4735,11,73,1,8
12,455,225,4951,11,73,1,8
13,360,175,3821,11,73,1,8
18,225,105,3121,16.5,73,1,6
16,250,100,3278,18,73,1,6
18,232,100,2945,16,73,1,6
18,250,88,3021,16.5,73,1,6
23,198,95,2904,16,73,1,6
26,97,46,1950,21,73,2,4
11,400,150,4997,14,73,1,8
12,400,167,4906,12.5,73,1,8
13,360,170,4654,13,73,1,8
12,350,180,4499,12.5,73,1,8
18,232,100,2789,15,73,1,6
20,97,88,2279,19,73,3,4
21,140,72,2401,19.5,73,1,4
22,108,94,2379,16.5,73,3,4
18,70,90,2124,13.5,73,3,3
19,122,85,2310,18.5,73,1,4
21,155,107,2472,14,73,1,6
26,98,90,2265,15.5,73,2,4
15,350,145,4082,13,73,1,8
16,400,230,4278,9.5,73,1,8
29,68,49,1867,19.5,73,2,4
24,116,75,2158,15.5,73,2,4
20,114,91,2582,14,73,2,4
19,121,112,2868,15.5,73,2,4
15,318,150,3399,11,73,1,8
24,121,110,2660,14,73,2,4
20,156,122,2807,13.5,73,3,6
11,350,180,3664,11,73,1,8
20,198,95,3102,16.5,74,1,6
19,232,100,2901,16,74,1,6
15,250,100,3336,17,74,1,6
31,79,67,1950,19,74,3,4
26,122,80,2451,16.5,74,1,4
32,71,65,1836,21,74,3,4
25,140,75,2542,17,74,1,4
16,250,100,3781,17,74,1,6
16,258,110,3632,18,74,1,6
18,225,105,3613,16.5,74,1,6
16,302,140,4141,14,74,1,8
13,350,150,4699,14.5,74,1,8
14,318,150,4457,13.5,74,1,8
14,302,140,4638,16,74,1,8
14,304,150,4257,15.5,74,1,8
29,98,83,2219,16.5,74,2,4
26,79,67,1963,15.5,74,2,4
26,97,78,2300,14.5,74,2,4
31,76,52,1649,16.5,74,3,4
32,83,61,2003,19,74,3,4
28,90,75,2125,14.5,74,1,4
24,90,75,2108,15.5,74,2,4
26,116,75,2246,14,74,2,4
24,120,97,2489,15,74,3,4
